AutoID_row_number,fbus,tbus,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
367,12,121,126,126,126,0.0,9.6884
368,12,121,63,63,63,0.0,19.173
369,12,121,126,126,126,0.0,9.68
370,13,84,450,450,450,0.0,21.801
371,13,123,126,126,126,0.0,10.346
372,13,123,126,126,126,0.0,10.348
373,13,123,126,126,126,0.0,10.345
374,13,123,126,126,126,0.0,10.345
375,14,86,450,450,450,0.0,8.063
376,14,86,450,450,450,0.0,8.0558
377,15,87,360,360,360,0.0,31.978
378,15,87,360,360,360,0.0,32.429
379,15,126,126,126,126,0.0,12.899
380,15,126,120,120,120,0.0,12.627
381,15,126,120,120,120,0.0,12.628
382,16,47,80,80,80,47.826,49.907
383,17,88,360,360,360,0.0,23.081
384,17,88,360,360,360,0.0,23.081
385,17,128,120,120,120,0.0,15.972
386,17,128,126,126,126,0.0,15.18
387,18,133,170,170,170,0.0,16.206
388,18,133,126,126,126,0.0,21.562
389,18,133,126,126,126,0.0,21.56
390,19,140,63,63,63,0.0,30.644
391,19,140,63,63,63,0.0,30.5
392,19,140,63,63,63,0.0,30.58
393,20,141,170,170,170,0.0,11.857
394,20,141,170,170,170,0.0,11.855
395,21,142,170,170,170,0.0,13.019
396,21,142,170,170,170,0.0,13.147
397,22,146,126,126,126,0.0,17.494
398,23,149,126,126,126,0.0,18.508
399,23,149,126,126,126,0.0,18.499
400,23,149,126,126,126,0.0,18.498
401,24,98,450,450,450,0.0,30.849
402,24,98,450,450,450,0.0,31.496
403,24,150,63,63,63,4.3478,44.494
404,24,150,63,63,63,0.0,41.896
405,25,151,126,126,126,0.0,19.875
406,25,151,126,126,126,0.0,19.878
407,25,151,170,170,170,0.0,14.733
408,29,102,450,450,450,0.0,9.5206
409,29,159,170,170,170,0.0,18.076
410,29,159,170,170,170,0.0,17.993
411,31,72,250,250,250,0.0,30.505
412,31,72,250,250,250,0.0,30.375
413,31,162,63,63,63,100.0,51.208
414,31,162,126,126,126,0.0,27.3
415,32,104,450,450,450,0.0,24.757
416,32,104,450,450,450,0.0,24.757
417,32,108,140,140,140,0.0,22.986
418,33,163,170,170,170,0.0,21.096
419,33,163,170,170,170,0.0,21.094
420,34,107,450,450,450,0.0,9.0568
421,34,107,450,450,450,0.0,9.0683
422,34,169,126,126,126,0.0,28.014
423,34,169,126,126,126,0.0,28.001
424,35,171,63,63,63,100.0,55.668
425,35,171,63,63,63,100.0,55.675
426,36,109,170,170,170,0.0,21.719
427,36,109,170,170,170,0.0,21.703
428,37,110,170,170,170,0.0,21.821
429,37,110,170,170,170,0.0,21.82
430,37,110,170,170,170,0.0,21.808
431,38,111,170,170,170,0.0,22.473
432,38,111,170,170,170,0.0,22.473
433,38,111,170,170,170,0.0,22.473
434,39,114,126,126,126,0.0,31.436
435,39,114,170,170,170,0.0,23.207
436,39,114,126,126,126,0.0,31.366
437,40,115,120,120,120,0.0,35.076
438,40,115,126,126,126,0.0,32.927
439,41,81,450,450,450,0.0,25.105
440,41,81,450,450,450,0.0,25.012
441,41,116,170,170,170,0.0,25.282
442,41,116,170,170,170,0.0,25.242
443,42,118,126,126,126,0.0,33.777
444,42,118,63,63,63,100.0,66.887
445,42,118,63,63,63,100.0,66.876
446,42,118,126,126,126,0.0,33.718
447,43,82,450,450,450,0.0,34.894
448,43,82,450,450,450,0.0,26.794
449,43,119,170,170,170,0.0,32.016
450,44,120,170,170,170,0.0,25.904
451,44,120,126,126,126,0.0,34.96
452,44,120,126,126,126,0.0,34.957
453,44,120,126,126,126,0.0,34.956
