,Support_ID,EI,LA,MS,action
260,S86S4VRT//D37-1-X-1,0.099,0.338,0.0,Keep the current maintenance
261,S86UD7R5//D45,0.072,0.137,0.0,Keep the current maintenance
262,S86WLITM//D46,0.067,0.127,0.0,Keep the current maintenance
263,S872CQ0G//D47,0.062,0.117,0.0,Keep the current maintenance
264,S873TJ4G//D59-17,0.25630000000000003,0.0,0.0,Replacement
265,S8763X5V//D48,0.056,0.107,0.0,Keep the current maintenance
266,S87L2SME//D44-1,0.234,0.449,0.0,Keep the current maintenance
267,S885QRIM//D59-18,0.25630000000000003,0.0,0.0,Replacement
268,S88D9C3N//D40-1,0.234,0.474,0.0,Keep the current maintenance
269,S88WOSRW//D44-2-CT,0.167,0.442,0.0,Keep the current maintenance
270,S89ANS5P//D59-19,0.25630000000000003,0.0,0.0,Replacement
271,S89RV4VL//D37-2,0.2574,0.0,0.0,Replacement
272,S8B6AK5T//D37-3,0.2574,0.0,0.0,Replacement
273,S8B71UGX//D59-20,0.6963,0.0,0.0,Replacement
274,S8BMQAWE//D40-2,0.234,0.449,0.0,Keep the current maintenance
275,S8C3P1J7//D59-21,0.6963,0.0,0.0,Replacement
276,S8D5METU//D37-4,0.2574,0.0,0.0,Replacement
277,S8DICRSO//D59-22,0.6963,0.0,0.0,Replacement
278,S8E32U09//D59-26-1-CT,0.499,0.434,0.0,Keep the current maintenance
279,S8EPIACX//D40-3,0.234,0.474,0.0,Keep the current maintenance
280,S8EUQ8WK//D59-26,0.6963,0.0,0.0,Replacement
281,S8FV6L93//D59-27,0.6963,0.0,0.0,Replacement
282,S8GBE6DU//D37-5,0.2574,0.0,0.0,Replacement
283,S8GX3TNL//D59-28,0.6963,0.0,0.0,Replacement
284,S8HV9UT5//D59-29,0.6963,0.0,0.0,Replacement
285,S8I411LT//D37-6,0.2574,0.0,0.0,Replacement
286,S8IUWS47//D59-30,0.6963,0.0,0.0,Replacement
287,S8IVOEH2//D37-6-1,0.167,0.442,0.0,Keep the current maintenance
288,S8J1FLEQ//D40-4,0.234,0.449,0.0,Keep the current maintenance
289,S8JGEGPR//D37-6-2,0.167,0.442,0.0,Keep the current maintenance
290,S8JQ58J9//D37-7,0.2574,0.0,0.0,Replacement
291,S8JQUI4S//D59-31,0.6963,0.0,0.0,Replacement
292,S8K73W3V//D59-31-1-CT,0.499,0.434,0.0,Keep the current maintenance
293,S8KEKHV7//D37-6-3,0.167,0.442,0.0,Keep the current maintenance
294,S8KLBHKI//D37-8,0.2574,0.0,0.0,Replacement
295,S8L1IVBG//D37-6-4-CT,0.099,0.314,0.0,Keep the current maintenance
296,S8LO01LP//D59-32,0.6963,0.0,0.0,Replacement
297,S8LPH3OJ//D37-14,0.2574,0.0,0.0,Replacement
298,S8LW82QD//D37-9,0.6974,0.0,0.0,Replacement
299,S8MGW5D3//D37-13,0.2574,0.0,0.0,Replacement
300,S8N1M6RQ//D40-5,0.6974,0.0,0.0,Replacement
301,S8N5DET0//D37-12,0.6974,0.0,0.0,Replacement
302,S8N64U42//D37-14-1CT,0.167,0.442,0.0,Keep the current maintenance
303,S8N8D6UE//D37-10,0.6974,0.0,0.0,Replacement
304,S8NECJMT//D59-33,0.6963,0.0,0.0,Replacement
305,S8NFTLTD//D37-15,0.2574,0.0,0.0,Replacement
306,S8OJ9Q29//D37-11,0.6974,0.0,0.0,Replacement
307,S8PCWX9A//D59-34,0.6963,0.0,0.0,Replacement
308,S8Q7DWB0//D40-6,0.6974,0.0,0.0,Replacement
309,S8QN49G7//D37-16,0.2574,0.0,0.0,Replacement
310,S8RSQJ24//D59-35,0.6963,0.0,0.0,Replacement
311,S8SNWS2N//D59-36,0.6963,0.0,0.0,Replacement
312,S8TKM4BV//D40-7,0.6974,0.0,0.0,Replacement
313,S8TWL889//D37-17,0.2574,0.0,0.0,Replacement
314,S8UU1M6K//D59-37,0.6963,0.0,0.0,Replacement
315,S8W1O3VO//D59-38,0.6963,0.0,0.0,Replacement
316,S8XKSIKL//D59-39,0.6963,0.0,0.0,Replacement
317,S91H6L3M//D59-40,0.6963,0.0,0.0,Replacement
318,S935AS15//D59-41,0.6963,0.0,0.0,Replacement
319,S9362F3T//D37-18CT,0.2574,0.0,0.0,Replacement
320,S943H17G//D37-19,0.234,0.449,0.0,Keep the current maintenance
321,S94UER5Q//D59-42,0.6963,0.0,0.0,Replacement
322,S95TCFBF//D37-20,0.234,0.449,0.0,Keep the current maintenance
