Matricula tramo;Tipo Tramo;Tipo de conductor 1;Longitud Real (Km);Resistencia (ohmios);Reactancia (ohmios);Modelo constructivo 1;Impedancia (ohmios);Estructura de red
NBZ7080804;AEREO;LA-56;0.297794768;0.182845443;0.117628582;350120 CABLE AL-ACERO LA 56;0.217414215;SECUNDARIO
NBZ7080822;AEREO;LA-56;0.818063098;0.502288103;0.32313323;350120 CABLE AL-ACERO LA 56;0.59725076;SECUNDARIO
NBZ7080791;AEREO;LA-56;0.013290025;0.008160084;0.005249565;350120 CABLE AL-ACERO LA 56;0.00970283;RACIMO
NBZ7080806;AEREO;LA-30;0.436653428;0.469382316;0.182076663;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.503459692;RACIMO
NBZ7080878;AEREO;LA-30;0.098989671;0.106414095;0.041278768;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.11413981;RACIMO
NBZ7080830;AEREO;LA-56;0.114849499;0.070514359;0.045363471;350120 CABLE AL-ACERO LA 56;0.083845809;RACIMO
NBZ7080898;AEREO;LA-56;0.08;0.056817267;0.036551826;350120 CABLE AL-ACERO LA 56;0.067559145;RACIMO
NBZ7080816;AEREO;LA-30;0.10206705;0.109721459;0.042561717;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.117687292;RACIMO
NBZ7080881;AEREO;LA-30;0.127488528;0.137049198;0.053162336;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.146999046;RACIMO
NBZ7080793;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.376557541;0.047069758;0.039538596;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.061472457;SECUNDARIO
NBZ7080794;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.697825164;0.087228224;0.073271707;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.113918856;SECUNDARIO
NBZ7080795;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.296709081;0.037088677;0.031154487;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.048437301;RACIMO
NBZ7080837;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.016456924;0.002057119;0.00172798;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002686569;RACIMO
NBZ7080838;AEREO;LA-110;0.716750327;0.220042929;0.260897785;350130 CABLE AL-ACERO LA 110;0.341301262;RACIMO
NBZ7080839;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.596133832;0.074516885;0.062594183;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.097318023;RACIMO
NBZ7080789;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.121517452;0.015189717;0.012759361;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.01983756;SECUNDARIO
NBZ7080790;AEREO;UNI-AL-150-RS;0.085889457;0.017693287;0.010993888;330020 CABLE RS 12/20 KV 3X150 AL/50AC;0.020830696;SECUNDARIO
NBZ7080792;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.652221202;0.081527717;0.068483278;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.106474072;SECUNDARIO
NBZ7080779;AEREO;LA-30;0.054156614;0.050493538;0.019586796;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.054159395;RACIMO
NBZ7080829;AEREO;LA-56;0.13;0.059339933;0.038174715;350120 CABLE AL-ACERO LA 56;0.070558749;RACIMO
NBZ7080781;AEREO;LA-56;0.19908215;0.122235693;0.078636967;350120 CABLE AL-ACERO LA 56;0.145345584;RACIMO
NBZ7080900;AEREO;LA-30;0.186568841;0.200560674;0.077798881;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.215121478;RACIMO
NBZ7080883;AEREO;PAS-50;0.076473367;0.04764273;0.031353962;247548 CABLE FORRADO 24KV 1X50 ALM;0.057034206;SECUNDARIO
NBZ7080782;SUBTERRANEO;UNI-AL-95 -RHZ1-OL;0.008495187;0.002718463;0.001019424;330040C CABLE RHZ1-OL 12/20 KV  1X95 KAL+H16;0.00290332;RACIMO
NBZ7080825;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.101247596;0.008400361;0.007056303;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.010970755;PRINCIPAL
NBZ7080824;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.365534702;0.041533306;0.034887977;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.054241925;PRINCIPAL
NBZ7080844;AEREO;LA-56;0.017424028;0.01069826;0.006882431;350120 CABLE AL-ACERO LA 56;0.012720874;RACIMO
